hello;olá
Hello;Olá
hello!;olá!
Hello!;Olá!
Hello there;Olá
Hello there!;Olá!
Good work. Hopefully there's something useful behind it.;Bom trabalho. Espero que haja algo útil por trás disso.
The death throes of the rats seem to have shaken the door loose its hinges. You pick it up and go through.;A agonia dos ratos parece ter feito a porta perder as dobradiças. Você pega e passa.
Don't be so sure. I got here by following a clue, a clue left behind by Lady Hefin. I seek her on behalf of Baxtorian himself.;Não tenha tanta certeza. Cheguei aqui seguindo uma pista, uma pista deixada por Lady Hefin. Procuro-a em nome do próprio Baxtorian.
Red Axe Director;Diretor do Machado Vermelho
I want to use your whetstone.;Quero usar sua pedra de amolar.
You seem to be quite resourceful, outerlander. Go and show it to the chieftain.;Você parece ser bastante engenhoso, estrangeiro. Vá e mostre ao chefe.
Clearly you are a master smith, perhaps one of the best human smiths in all of Gielinor. Yet this is beyond even you.;Claramente você é um mestre ferreiro, talvez um dos melhores ferreiros humanos de toda Guilenor. No entanto, isso está além de você.
You'll find more information on account security on the Customer Support webpage. You can use the useful links section of the Account Management menu to get there.;Você encontrará mais informações sobre segurança da conta na página de Suporte ao Cliente. Você pode usar a seção de links úteis do menu Gerenciamento de contas para chegar lá.
What if I were to say she's still out there! Read this entry that I found hidden within a secret part of the memoir.;E se eu dissesse que ela ainda está por aí! Leia esta entrada que encontrei escondida em uma parte secreta do livro de memórias.
It could be a risky move.;Pode ser uma jogada arriscada.
Verzik... She died!;Verzik... Ela morreu!
Die intruder!;Morra intruso!
(End of cut scene.);(Fim da cena cortada.)
If you don't mind, I'd appreciate it if you'd not mention what we found here to Sedridor and the others until I'm ready.;Se não se importa, agradeceria se não mencionasse o que encontramos aqui para Sedridor e os outros até que eu esteja pronto.
Light the firecrackers?;Acender os fogos de artifício?
When she was still in power, the ruler of Hallowvale, Queen Efaritay Hallow, had this mausoleum built. It was constructed to one day house her and her human husband, King Ascertes Hallow.;Quando ela ainda estava no poder, a governante de Hallowvale, Rainha Efaritay Hallow, mandou construir este mausoléu. Foi construído para um dia abrigar ela e seu marido humano, o Rei Ascertes Hallow.
Kovac;Kovac
Burntof steps on a tile, setting something off.;Burntof pisa em um ladrilho, desencadeando algo.
Here's the dossier on the case.;Aqui está o dossiê do caso.
Now that Ysgawyn has returned, I thought we should gather to hear what he has discovered.;Agora que Ysgawyn voltou, pensei que deveríamos nos reunir para ouvir o que ele descobriu.
Skeleton Mage;Mago Esqueleto
Oh, crystal discs? I may have a few of those in a drawer somewhere.;Ah, discos de cristal? Posso ter alguns desses em uma gaveta em algum lugar.
Hello Vertida.;Olá Vertida.
Hello there crocodile. I think I'll call you Roger. You're looking very hungry, Roger.;Olá crocodilo. Acho que vou te chamar de Roger. Você parece estar com muita fome, Roger.
What? Then why the signal?;O que? Então por que o sinal?
Only the most worthy are allowed access into the Myths' Guild. If you wish to enter, you'll need to prove yourself.;Apenas os mais dignos têm acesso à Guilda dos Mitos. Se quiser entrar, você precisará provar seu valor.
2.67 Taking to First mate 'Davey-boy' in search of the jinx;2.67 Levando ao primeiro imediato 'Davey-boy' em busca do azar
Right here. Enjoy!;Bem aqui. Aproveitar!
Well then get to it.;Bem, então vá em frente.
Hi buddy! Or do ya want me to call ya [Fremennik name] now?;Olá amigo! Ou você quer que eu te chame de [nome Fremennik] agora?
Just do the same trick using some rope on their sails and swing over.;Basta fazer o mesmo truque usando uma corda nas velas e balançar.
The wizards cast an evil spell...;Os magos lançaram um feitiço maligno...
Now I just want a decent drink. Mind you, too much Khali brew and I'll fall asleep.;Agora só quero uma bebida decente. Veja bem, muita bebida Khali e eu vou adormecer.
Can you help me with that incantation?;Você pode me ajudar com esse encantamento?
Please, we just wanted to experiment. We wanted to create life. There's a dungeon under the tower. Long ago we found a strange source of energy that we believe was left behind by the great Guthix. He used to;Por favor, só queríamos experimentar. Queríamos criar vida. Há uma masmorra sob a torre. Há muito tempo atrás encontramos uma estranha fonte de energia que acreditamos ter sido deixada pelo grande Guthix. Ele costumava
You search the broken down lectern.;Você vasculha o púlpito quebrado.
You welcome the fresh air.;Você dá as boas-vindas ao ar fresco.
Good name, but not really his style I'm afraid.;Bom nome, mas infelizmente não é o estilo dele.
The apothecary hands you another potion of sealegs.;O boticário lhe entrega outra poção de pernas marinhas.
If the player has read the IOU;Se o jogador leu o IOU
Cat training medal;Medalha de treinamento de gato
They are ancient and powerful beings! They are very evil! It is said that they once dominated this plane of existence, Zamorak was supposedly of their blood. They are far fewer in number now.;Eles são seres antigos e poderosos! Eles são muito malvados! Diz-se que uma vez eles dominaram este plano de existência, Zamorak era supostamente do sangue deles. Eles são muito menos numerosos agora.
Perhaps our knowledge is beyond your understanding.;Talvez nosso conhecimento esteja além da sua compreensão.
The cage is complete!;A gaiola está completa!
I need the sled to get to a certain location in the mountains.;Preciso do trenó para chegar a um determinado local nas montanhas.
Errr... You couldn't see eye to eye about magic, or something like that.;Errr... Você não poderia concordar sobre magia, ou algo assim.
Pharaoh Kemesis has you fooled. This is clearly some ploy of his to keep us confused and divided. He is our true foe.;O Faraó Kemesis enganou você. Isto é claramente uma manobra dele para nos manter confusos e divididos. Ele é nosso verdadeiro inimigo.
Oi, how dare you wake me up!;Ei, como você ousa me acordar!
Den no crunchy claws for you!;Não há garras crocantes para você!
I think I know where Councillor Hughes has gone.;Acho que sei para onde foi o conselheiro Hughes.
Well on that note, what can you tell me about the Burning Man?;Bem, falando nisso, o que você pode me dizer sobre o Burning Man?
3.7 Talking to Brother Cedric with water;3.7 Conversando com o irmão Cedric com água
Acidic Bloodveld;Bloodveld Ácido
8.4.2 Returning to Ardougne Castle after Lathas' death;8.4.2 Retornando ao Castelo de Ardonha após a morte de Lathas
Yes, but I don't seem to have it with me. I'll be back soon.;Sim, mas parece que não tenho isso comigo. Estarei de volta em breve.
Where did you find this mermaid?;Onde você encontrou essa sereia?
Now I must complete my task by defeating the great enemy.;Agora devo completar minha tarefa derrotando o grande inimigo.
Lord Arceuus gives you the broken device.;Lord Arceuus lhe dá o dispositivo quebrado.
Then it sounds like we have an agreement.;Então parece que temos um acordo.
from their farm to the south. They are paid from the money in the coffers;de sua fazenda ao sul. Eles são pagos com o dinheiro que está nos cofres
Good day Effendi!;Bom dia Effendi!
Do you think this is worth exploring?;Você acha que vale a pena explorar isso?
Greetings!;Saudações!
No, not really, but it pays to be methodical in something like this.;Não, na verdade não, mas vale a pena ser metódico em algo assim.
Hello there. I'd like to ask you some questions about your dad.;Olá. Gostaria de fazer algumas perguntas sobre seu pai.
Yes, I can imagine. Do you have any more recent information about him? Where is he?;Sim, posso imaginar. Você tem alguma informação mais recente sobre ele? Onde ele está?
'We aim to deliver your stuff at some point after you have paid us!';'Nosso objetivo é entregar suas coisas em algum momento depois que você nos pagar!'
Grish, you's is fright da creatures! Leave it alone!;Grish, você está assustando as criaturas! Deixe isso em paz!
My plan has only just begun! Even with this setback, those pathetic fragments of my father have still given me ample power. My strength is absolute!;Meu plano apenas começou! Mesmo com este revés, aqueles fragmentos patéticos do meu pai ainda me deram amplo poder. Minha força é absoluta!
Right you are, old pockets! Keep thinking! These are excellent ideas you're having!;Vocês estão certos, bolsos velhos! Continue pensando! São excelentes ideias as que você está tendo!
I need [1-19] more before I can pay you.;Preciso de mais [1-19] antes de poder pagar a você.
I'll take a look.;Vou dar uma olhada.
I'm not finished yet.;Ainda não terminei.
Well, be very careful out there! Those dratted slugs have been joined by giant lobsters!;Bem, tenha muito cuidado lá fora! Essas malditas lesmas se juntaram a lagostas gigantes!
Ah, there you are. Our master foresaw your arrival.;Ah, aí está você. Nosso mestre previu sua chegada.
Hey you creature..you made da stabbers Dat's good creature!;Ei, sua criatura..você fez dos esfaqueadores a boa criatura dele!
Healthorg has become a weak old fool! He's blind to our problems.;Healthorg se tornou um velho tolo e fraco! Ele está cego para nossos problemas.
What on Gielinor is...;O que em Guilenor é...
Thanks, goodbye.;Obrigado, adeus.
But in the years I've been locked away, I've been plotting and scheming. When I escape from this cell....;Mas nos anos em que estive trancafiado, estive conspirando e planejando. Quando eu escapar desta cela....
Good morning.;Bom dia.
These adventurers reported seeing a wraith- like creature.;Esses aventureiros relataram ter visto uma criatura parecida com um fantasma.
I'm glad you liked it, my [darling/dear].;Que bom que você gostou, meu [querido/querido].
I know, I know. This is a truly dangerous creation, of all proportions.;Eu sei, eu sei. Esta é uma criação verdadeiramente perigosa, de todas as proporções.
Need summat?;Precisa de resumo?
Looks like it's up to me then. Wish me luck.;Parece que depende de mim então. Deseje-me sorte.
I don't think it's done yet.;Acho que ainda não acabou.
I no longer need these bones - take them, please, and bury what you can.;Não preciso mais desses ossos. Pegue-os, por favor, e enterre o que puder.
Except for the Captain, I think so, yes.;Exceto o Capitão, acho que sim.
If the player does not have inventory space for the reward;Se o jogador não tiver espaço no inventário para a recompensa
Try the beckon emote while wearing an item of builders' clothing!;Experimente o emote acenar enquanto veste uma peça de roupa de construtor!
it would therefore become impossible to remove your rank, or make you no longer a deputy.;seria, portanto, impossível remover o seu posto ou fazer com que você deixasse de ser deputado.
That's not true!;Isso não é verdade!
Well return to me once you have.;Bem, volte para mim assim que tiver feito isso.
Are you Death? You remind me a lot of a gnome I knew when I was alive.;Você é a Morte? Você me lembra muito um gnomo que conheci quando estava vivo.
1.2 Before watching the recording;1.2 Antes de assistir a gravação
3.1 Talking to Kaht B'alam;3.1 Conversando com Kaht B'alam
Veos;Veos
She happened to be somewhere else when Crandor was destroyed, and she's had several owners since then. Not all of them have looked after her too well,;Ela estava em outro lugar quando Crandor foi destruído e teve vários proprietários desde então. Nem todos cuidaram dela muito bem,
Hazelmere?;Hazelmere?
You'll find the house in sector four. To get there, leave the base, head north and then head west. Go all the way to the western wall and you'll find a broken fountain. The house is the one directly south of the fountain.;Você encontrará a casa no setor quatro. Para chegar lá, saia da base, siga para o norte e depois para o oeste. Vá até a parede oeste e você encontrará uma fonte quebrada. A casa fica diretamente ao sul da fonte.
The voices tell me I can. They speak to me!;As vozes me dizem que posso. Eles falam comigo!
No... I thought destroying the totem would be enough, but it's already too late. It has claimed this place now. We can never undo that.;Não... pensei que destruir o totem seria suficiente, mas já é tarde demais. Ele reivindicou este lugar agora. Nunca poderemos desfazer isso.
Here's a vial for your potion. Good luck.;Aqui está um frasco para sua poção. Boa sorte.
Nulodion's notes;Notas de Nulodion
Traveller, any word from Hazelmere?;Viajante, alguma notícia de Hazelmere?
Your first-cousin, once removed?;Seu primo-irmão, uma vez removido?
I'll see if the author can help translate the note for me, then.;Vou ver se o autor pode ajudar a traduzir a nota para mim, então.
6.1.4 Trying to combine buttons with pattern without hard leather;6.1.4 Tentando combinar botões com estampa sem couro duro
Be off with ye then.;Vá embora então.
Yes, I hear them all the time. I don't pay any attention to them though.;Sim, eu os ouço o tempo todo. Eu não presto atenção a eles, no entanto.
5.12 Talking to Wise Old Man again;5.12 Conversando com o Velho Sábio novamente
You hear the clunking of some hidden machinery.;Você ouve o barulho de algumas máquinas escondidas.
Hey there's no need to be rude!;Ei, não há necessidade de ser rude!
Don't we?;Não é?
What do we do? There's nothing we can do. Don't you see, Ivan? It's over. They've won.;O que fazemos? Não há nada que possamos fazer. Você não vê, Ivan? Acabou. Eles venceram.
[player name]! I hear you fetch mighty army for us!;[nome do jogador]! Ouvi dizer que você trouxe um exército poderoso para nós!
2.3 Talking to the sawmill operator;2.3 Conversando com o operador da serraria
Of course. Sorry to have disturbed you.;Claro. Desculpe por ter incomodado você.
The player stabs Abigale.;O jogador esfaqueia Abigale.
Do you recognise this thread?;Você reconhece esse tópico?
The Pot is now coated with a thin layer of flour.;A panela agora está revestida com uma fina camada de farinha.
So this place was definitely used by wizards at one point. Amazing!;Então este lugar foi definitivamente usado por bruxos em algum momento. Incrível!
You're in serious trouble now!;Você está com sérios problemas agora!
If player's house is currently located in Yanille;Se a casa do jogador estiver atualmente localizada em Yanille
When it protects them from a far greater danger, a fear too big to fathom.;Quando os protege de um perigo muito maior, um medo grande demais para ser compreendido.
4 Lozar's map piece;4 Pedaço do mapa de Lozar
7 Getting the goutweed;7 Obtendo a gota
3.17 Talking to Hengrad in the jail cell;3.17 Conversando com Hengrad na cela da prisão
...that's lovely, thanks.;... isso é adorável, obrigado.
So What do you say?;Então, o que você diria?
Oh, I'll be fine. I've got work as Port Sarim's first lifeguard!;Ah, eu vou ficar bem. Tenho trabalho como primeiro salva-vidas de Port Sarim!
